"","autor","fecha","tweet_id","texto","texto_tokenizado"
"283","Ben Affleck","1580761478","1224428502536966144","Excited to share the new trailer for @TheWayBackMovie. In theaters March 6. #TheWayBack https://t.co/gt3S7E9snB","c(""excited"", ""to"", ""share"", ""the"", ""new"", ""trailer"", ""for"", ""thewaybackmovie"", ""in"", ""theaters"", ""march"", ""thewayback"")"
"284","Ben Affleck","1580102551","1221664762204848128","My thoughts and prayers are with Kobe Bryant’s family, and the families of all those involved. Today reminds us just how short and precious life is, and a reason to be grateful and celebrate life while we can. Rest In Peace Mamba.","c(""my"", ""thoughts"", ""and"", ""prayers"", ""are"", ""with"", ""kobe"", ""bryant"", ""family"", ""and"", ""the"", ""families"", ""of"", ""all"", ""those"", ""involved"", ""today"", ""reminds"", ""us"", ""just"", ""how"", ""short"", ""and"", ""precious"", ""life"", ""is"", ""and"", ""reason"", ""to"", ""be"", ""grateful"", ""and"", ""celebrate"", ""life"", ""while"", ""we"", ""can"", ""rest"", ""in"", ""peace"", ""mamba"")"
"285","Ben Affleck","1575423284","1202038493393739776","Today is #GivingTuesday and I’m proud to support @FeedingAmerica, and organization helping hungry families across the country. 
Join me in donating: https://t.co/M66ABLNrcy https://t.co/NVbPCtF3C4","c(""today"", ""is"", ""givingtuesday"", ""and"", ""proud"", ""to"", ""support"", ""feedingamerica"", ""and"", ""organization"", ""helping"", ""hungry"", ""families"", ""across"", ""the"", ""country"", ""join"", ""me"", ""in"", ""donating"")"
"286","Ben Affleck","1574031475","1196200825766453248","#ReleaseTheSnyderCut","releasethesnydercut"
"287","Ben Affleck","1573740120","1194978791984160768","So proud of this one and the incredible team behind it. Here’s your first look at #TheWayBack, a story of endurance and redemption. In theaters this March. https://t.co/uqbdHhTIGh","c(""so"", ""proud"", ""of"", ""this"", ""one"", ""and"", ""the"", ""incredible"", ""team"", ""behind"", ""it"", ""here"", ""your"", ""first"", ""look"", ""at"", ""thewayback"", ""story"", ""of"", ""endurance"", ""and"", ""redemption"", ""in"", ""theaters"", ""this"", ""march"")"
"288","Ben Affleck","1572100426","1188101419649265664","Join me in supporting The @MidnightMission: https://t.co/xiGUbXGZ1p https://t.co/oAPJQQiB0V","c(""join"", ""me"", ""in"", ""supporting"", ""the"", ""midnightmission"")"
"289","Ben Affleck","1563386228","1151551422481096704","@ThatKevinSmith @Comic_Con Snoochie boochies!","c(""thatkevinsmith"", ""comic"", ""con"", ""snoochie"", ""boochies"")"
"290","Ben Affleck","1560964768","1141395082060283904","Foreign assistance is an expression of our values as Americans. Adam Hochschild and I wanted to share what @EasternCongo Initiative and our partners are doing to support communities in eastern Congo. https://t.co/s2DCu4Euko","c(""foreign"", ""assistance"", ""is"", ""an"", ""expression"", ""of"", ""our"", ""values"", ""as"", ""americans"", ""adam"", ""hochschild"", ""and"", ""wanted"", ""to"", ""share"", ""what"", ""easterncongo"", ""initiative"", ""and"", ""our"", ""partners"", ""are"", ""doing"", ""to"", ""support"", ""communities"", ""in"", ""eastern"", ""congo"")"
"291","Ben Affleck","1560554485","1139674229383655424","It’s almost time! #CityOnaHill officially debuts this Sunday on @Showtime 9pm ET/PT. Don’t forget you can watch the first episode here: https://t.co/zWGSv59u3k","c(""it"", ""almost"", ""time"", ""cityonahill"", ""officially"", ""debuts"", ""this"", ""sunday"", ""on"", ""showtime"", ""pm"", ""et"", ""pt"", ""don"", ""forget"", ""you"", ""can"", ""watch"", ""the"", ""first"", ""episode"", ""here"")"
"292","Ben Affleck","1559933938","1137071467064057856","Really excited for you all to see #CityOnAHill. Showtime just released the series premiere early and you can watch here: https://t.co/NcXQvbxkbg","c(""really"", ""excited"", ""for"", ""you"", ""all"", ""to"", ""see"", ""cityonahill"", ""showtime"", ""just"", ""released"", ""the"", ""series"", ""premiere"", ""early"", ""and"", ""you"", ""can"", ""watch"", ""here"")"
"293","Ben Affleck","1558402011","1130646100090601472","Happy Birthday to my friend the great philanthropist and changemaker @cindymccain. Such fun walking through this world with you in it. Thanks for your partnership over the years. 🎂 https://t.co/FAHqPPO5Tc","c(""happy"", ""birthday"", ""to"", ""my"", ""friend"", ""the"", ""great"", ""philanthropist"", ""and"", ""changemaker"", ""cindymccain"", ""such"", ""fun"", ""walking"", ""through"", ""this"", ""world"", ""with"", ""you"", ""in"", ""it"", ""thanks"", ""for"", ""your"", ""partnership"", ""over"", ""the"", ""years"")"
"294","Ben Affleck","1557849208","1128327478248783872","Thank you Savannah, your story is very inspiring! Thanks for sharing. #BenAffleckFilmFestival https://t.co/ACX8R3iyqD","c(""thank"", ""you"", ""savannah"", ""your"", ""story"", ""is"", ""very"", ""inspiring"", ""thanks"", ""for"", ""sharing"", ""benaffleckfilmfestival"")"
"295","Ben Affleck","1552528444","1106010574763130880",".@triplefrontier. On Netflix and in select theaters now. #TripleFrontier https://t.co/dPRF2cXRNN","c(""triplefrontier"", ""on"", ""netflix"", ""and"", ""in"", ""select"", ""theaters"", ""now"", ""triplefrontier"")"
"296","Ben Affleck","1548895436","1090772636206952320","Excited for #TheBatman in Summer 2021 and to see @MattReevesLA vision come to life. https://t.co/GNgyJroMIO","c(""excited"", ""for"", ""thebatman"", ""in"", ""summer"", ""and"", ""to"", ""see"", ""mattreevesla"", ""vision"", ""come"", ""to"", ""life"")"
"297","Ben Affleck","1547949744","1086806115759738880","Tony Mendez was a true American hero. He was a man of extraordinary grace, decency, humility and kindness. He never sought the spotlight for his actions, he merely sought to serve his country. I’m so proud to have worked for him and to have told one of his stories. #RIPTonyMendez","c(""tony"", ""mendez"", ""was"", ""true"", ""american"", ""hero"", ""he"", ""was"", ""man"", ""of"", ""extraordinary"", ""grace"", ""decency"", ""humility"", ""and"", ""kindness"", ""he"", ""never"", ""sought"", ""the"", ""spotlight"", ""for"", ""his"", ""actions"", ""he"", ""merely"", ""sought"", ""to"", ""serve"", ""his"", ""country"", ""so"", ""proud"", ""to"", ""have"", ""worked"", ""for"", ""him"", ""and"", ""to"", ""have"", ""told"", ""one"", ""of"", ""his"", ""stories"", ""riptonymendez"")"
"298","Ben Affleck","1541959896","1061682872904376320","Thousands of firefighters are bravely battling 3 wildfires across California. Help support them and donate to the @CAFireFound at https://t.co/z4QF5sjwig #CampFire #HillFire #WoolseyFire","c(""thousands"", ""of"", ""firefighters"", ""are"", ""bravely"", ""battling"", ""wildfires"", ""across"", ""california"", ""help"", ""support"", ""them"", ""and"", ""donate"", ""to"", ""the"", ""cafirefound"", ""at"", ""campfire"", ""hillfire"", ""woolseyfire"")"
"299","Ben Affleck","1538957435","1049089638495744000","Congratulations to Dr. @DenisMukwege on the #NobelPeacePrize. Dr. Mukwege has cared for thousands of survivors of sexual violence. We are thrilled to see longtime friend &amp; @EasternCongo partner honored for his courageous dedication to human rights and justice in eastern Congo. https://t.co/IgeoOAMPHe","c(""congratulations"", ""to"", ""dr"", ""denismukwege"", ""on"", ""the"", ""nobelpeaceprize"", ""dr"", ""mukwege"", ""has"", ""cared"", ""for"", ""thousands"", ""of"", ""survivors"", ""of"", ""sexual"", ""violence"", ""we"", ""are"", ""thrilled"", ""to"", ""see"", ""longtime"", ""friend"", ""amp"", ""easterncongo"", ""partner"", ""honored"", ""for"", ""his"", ""courageous"", ""dedication"", ""to"", ""human"", ""rights"", ""and"", ""justice"", ""in"", ""eastern"", ""congo"")"
"300","Ben Affleck","1525655205","993296042593587200","Boxed up 15,000 meals with Rise Against Hunger today. Learn ways to get involved: https://t.co/1nUQkxhHEi @Rise2030 https://t.co/3eS9oswSWh","c(""boxed"", ""up"", ""meals"", ""with"", ""rise"", ""against"", ""hunger"", ""today"", ""learn"", ""ways"", ""to"", ""get"", ""involved"", ""rise"")"
"301","Ben Affleck","1524272234","987495440718409728","Hey @chrishemsworth, you can have him! I'm Team @JimmyKimmel anyways. https://t.co/f8Ado6qh34","c(""hey"", ""chrishemsworth"", ""you"", ""can"", ""have"", ""him"", ""team"", ""jimmykimmel"", ""anyways"")"
"302","Ben Affleck","1523991120","986316361394737152","Another day on the job https://t.co/lzG9vGU0jM","c(""another"", ""day"", ""on"", ""the"", ""job"")"
